,prod_id,prod_desc,prod_long_desc,theme_name,ages,piece_count,set_name,country,list_price,num_reviews,play_star_rating,review_difficulty,star_rating,val_star_rating
10198,76084,blah,blahblah,Marvel Super Heroes,7-14,400,The Ultimate Battle for Asgard,PL,66.69709999999999,6.0,4.8,Easy,4.3,4.5
10199,76083,blah,blahblah,Marvel Super Heroes,7-14,375,Beware the Vulture,PL,55.0971,23.0,4.4,Average,4.6,3.9
10200,76100,blah,blahblah,Marvel Super Heroes,7-14,358,Royal Talon Fighter Attack,PL,49.2971,7.0,4.7,Average,4.7,4.8
10201,76077,blah,blahblah,Marvel Super Heroes,7-14,377,Iron Man: Detroit Steel Strikes,PL,49.2971,10.0,4.8,Easy,4.6,4.3
10202,76082,blah,blahblah,Marvel Super Heroes,6-12,185,ATM Heist Battle,PL,34.79709999999999,9.0,3.9,Easy,3.9,4.2
10203,76099,blah,blahblah,Marvel Super Heroes,6-12,229,Rhino Face-Off by the Mine,PL,34.79709999999999,6.0,4.4,Easy,4.7,5.0
10204,76076,blah,blahblah,Marvel Super Heroes,6-12,160,Captain America Jet Pursuit,PL,34.79709999999999,10.0,3.9,Easy,3.7,3.9
10205,76091,blah,blahblah,Marvel Super Heroes,5-12,79,Mighty Micros: Thor vs. Loki,PL,13.0471,2.0,3.5,Easy,3.5,3.0
10206,76090,blah,blahblah,Marvel Super Heroes,5-12,86,Mighty Micros: Star-Lord vs. Nebula,PL,13.0471,,,nan,,
10207,76089,blah,blahblah,Marvel Super Heroes,5-12,89,Mighty Micros: Scarlet Spider vs. Sandman,PL,13.0471,,,nan,,
10208,31313,blah,blahblah,MINDSTORMS®,10+,601,LEGO® MINDSTORMS® EV3,PL,478.4971,38.0,4.4,Challenging,4.3,3.7
10209,45500,blah,blahblah,MINDSTORMS®,10-21,1,EV3 Intelligent Brick,PL,304.4971,1.0,5.0,Average,4.0,3.0
10210,45501,blah,blahblah,MINDSTORMS®,10-21,1,EV3 Rechargeable DC Battery,PL,144.9971,6.0,4.0,Very Easy,4.3,3.0
10211,45505,blah,blahblah,MINDSTORMS®,10-21,1,EV3 Gyro Sensor,PL,57.9971,,,nan,,
10212,45504,blah,blahblah,MINDSTORMS®,10+,1,EV3 Ultrasonic Sensor,PL,57.9971,4.0,3.0,Challenging,3.5,4.0
10213,45506,blah,blahblah,MINDSTORMS®,10-21,1,EV3 Color Sensor,PL,57.9971,1.0,5.0,Very Easy,5.0,5.0
10214,45509,blah,blahblah,MINDSTORMS®,10-21,1,EV3 Infrared Sensor,PL,57.9971,,,nan,,
10215,45508,blah,blahblah,MINDSTORMS®,10+,1,EV3 Infrared Beacon,PL,57.9971,3.0,5.0,Average,5.0,3.3
10216,45502,blah,blahblah,MINDSTORMS®,10-21,1,EV3 Large Servo Motor,PL,49.2971,2.0,5.0,nan,5.0,5.0
10217,45517,blah,blahblah,MINDSTORMS®,8+,1,Transformer 10V DC,PL,37.6971,2.0,5.0,Very Easy,4.0,2.5
10218,45503,blah,blahblah,MINDSTORMS®,10-21,1,EV3 Medium Servo Motor,PL,37.6971,1.0,5.0,Easy,5.0,
10219,45507,blah,blahblah,MINDSTORMS®,10-21,1,EV3 Touch Sensor,PL,31.897099999999995,,,nan,,
10220,45514,blah,blahblah,MINDSTORMS®,10-21,7,EV3 Cable Pack,PL,26.0971,,,nan,,
10221,21137,blah,blahblah,Minecraft™,12+,2863,The Mountain Cave,PL,345.1,11.0,4.3,Challenging,4.5,4.2
10222,21136,blah,blahblah,Minecraft™,8+,1122,The Ocean Monument,PL,159.4971,2.0,5.0,Easy,5.0,4.0
10223,21134,blah,blahblah,Minecraft™,8+,729,The Waterfall Base,PL,121.7971,7.0,4.0,Average,4.1,3.7
10224,21135,blah,blahblah,Minecraft™,8+,717,The Crafting Box 2.0,PL,95.6971,1.0,5.0,Challenging,5.0,5.0
10225,21144,blah,blahblah,Minecraft™,8+,549,The Farm Cottage,PL,81.19709999999998,4.0,4.7,Easy,4.8,4.3
10226,21143,blah,blahblah,Minecraft™,8+,470,The Nether Portal,PL,66.69709999999999,1.0,5.0,Average,5.0,5.0
10227,21142,blah,blahblah,Minecraft™,8+,278,The Polar Igloo,PL,52.1971,,,nan,,
10228,21130,blah,blahblah,Minecraft™,8+,387,The Nether Railway,PL,52.1971,6.0,4.2,Easy,4.7,4.2
10229,21140,blah,blahblah,Minecraft™,7-14,198,The Chicken Coop,PL,28.9971,4.0,4.5,Average,4.5,5.0
10230,21141,blah,blahblah,Minecraft™,7-14,241,The Zombie Cave,PL,28.9971,2.0,5.0,Average,5.0,4.5
10231,21123,blah,blahblah,Minecraft™,8+,208,The Iron Golem,PL,26.0971,16.0,4.4,Easy,4.6,4.4
10232,21129,blah,blahblah,Minecraft™,8+,247,The Mushroom Island,PL,26.0971,5.0,5.0,Average,4.6,4.8
